"Date_Posted,Job_Count,Lag_1,Lag_2,Lag_3,Rolling_Mean_3,Rolling_Mean_6,Rolling_STD_3,MoM_Growth,Trend,Year,Month,Quarter"
"2024-11-01,222,239.0,224.0,222.0,228.33333333333334,220.66666666666666,9.291573243177565,-0.07112970711297073,6,2024,11,4"
"2024-12-01,198,222.0,239.0,224.0,219.66666666666666,217.83333333333334,20.599352740640494,-0.10810810810810811,7,2024,12,4"
"2025-01-01,220,198.0,222.0,239.0,213.33333333333334,220.83333333333334,13.316656236958769,0.11111111111111116,8,2025,1,1"
"2025-02-01,192,220.0,198.0,222.0,203.33333333333334,215.83333333333334,14.742229591663977,-0.12727272727272732,9,2025,2,1"
"2025-03-01,236,192.0,220.0,198.0,216.0,217.83333333333334,22.27105745132008,0.22916666666666674,10,2025,3,1"
"2025-04-01,216,236.0,192.0,220.0,214.66666666666666,214.0,22.0302821891444,-0.0847457627118644,11,2025,4,2"
"2025-05-01,213,216.0,236.0,192.0,221.66666666666666,212.5,12.50333288900736,-0.01388888888888884,12,2025,5,2"
"2025-06-01,219,213.0,216.0,236.0,216.0,216.0,2.9999999999999525,0.028169014084507005,13,2025,6,2"
"2025-07-01,231,219.0,213.0,216.0,221.0,217.83333333333334,9.165151389911664,0.0547945205479452,14,2025,7,3"
"2025-08-01,211,231.0,219.0,213.0,220.33333333333334,221.0,10.066445913694322,-0.08658008658008653,15,2025,8,3"
"2025-09-01,234,211.0,231.0,219.0,225.33333333333334,220.66666666666666,12.503332889007355,0.1090047393364928,16,2025,9,3"
"2025-10-01,233,234.0,211.0,231.0,226.0,223.5,12.99999999999999,-0.004273504273504258,17,2025,10,4"
"2025-11-01,196,233.0,234.0,211.0,221.0,220.66666666666666,21.65640782770771,-0.15879828326180256,18,2025,11,4"
"2025-12-01,228,196.0,233.0,234.0,219.0,222.16666666666666,20.074859899884725,0.16326530612244894,19,2025,12,4"
"2026-01-01,201,228.0,196.0,233.0,208.33333333333334,217.16666666666666,17.214335111567138,-0.11842105263157898,20,2026,1,1"
"2026-02-01,207,201.0,228.0,196.0,212.0,216.5,14.177446878757815,0.029850746268656803,21,2026,2,1"
"2026-03-01,220,207.0,201.0,228.0,209.33333333333334,214.16666666666666,9.712534856222291,0.06280193236714982,22,2026,3,1"
"2026-04-01,221,220.0,207.0,201.0,216.0,212.16666666666666,7.810249675906627,0.00454545454545463,23,2026,4,2"
